ID,True_Values,Predictions
10024,2,-1.237958
10024,3,-0.17554124
10024,1,-2.453606
10024,2,-1.8884653
10024,7,6.495168
10024,2,-1.4326774
10024,2,-1.4244789
10212,3,1.3310698
10212,6,5.669704
10212,3,1.0283593
10212,2,-1.3008099
10212,0,-2.2364
10212,4,2.8630996
10212,5,4.4634705
10212,3,1.9145957
10212,5,4.561237
10212,-1,-4.721893
10212,6,5.467486
10212,4,2.1198144
10214,12,10.955341
10214,2,-0.1990482
10214,1,-1.7214125
10214,2,-0.56904835
11091,6,5.225914
11091,4,3.2784917
11091,2,1.2482306
11091,9,8.26075
11091,5,5.4881167
11091,15,11.245251
11091,1,-2.0160642
11091,6,7.402971
11091,6,6.479052
11091,12,11.832717
11091,5,4.293654
11091,4,4.2545013
11091,2,2.0760293
11091,5,4.496716
11092,3,0.19193645
11092,3,-0.24248604
11092,3,0.5009454
11092,4,1.2975937
11092,1,-3.392018
11092,3,1.5607024
11092,3,3.0794973
11092,2,-1.4179724
11092,3,2.1205256
11092,7,7.8964915
11092,2,-1.099796
11092,3,0.5520117
11092,3,0.5384792
11092,2,-1.7695645
11092,4,4.492671
11250,2,-0.15442316
11250,2,1.06018
11250,3,1.4073803
11250,0,-3.6493523
11250,5,6.147553
11250,3,1.8412876
11250,6,7.49404
11250,0,-3.5552151
11250,4,1.2690614
11250,2,0.6150803
11250,3,1.1089765
11250,4,2.5654428
11250,3,1.8384889
11250,1,0.3395043
11250,2,-0.00772886
11418,2,-0.9609683
11680,1,-2.9529214
11680,1,-2.0941975
11680,-1,-3.3493168
11680,1,-1.8797632
11680,2,-1.0724953
11680,2,-1.0503713
11697,9,10.9957905
11697,5,8.9003105
11697,3,0.41052872
11697,9,11.009666
11697,4,3.2697866
11697,4,2.5660887
11697,-7,-7.661464
11697,3,0.3716312
11697,3,0.13633306
11697,1,-3.4808278
11697,2,-1.2345059
11700,10,10.237154
11700,12,11.957916
11700,2,-1.5031193
11700,10,11.551166
11700,3,0.38896602
11700,2,1.0720007
11700,4,1.2965283
11700,1,-0.46822673
11700,2,-1.0883623
11700,2,-1.5453571
11700,1,-2.6887286
11700,4,3.6095319
11700,0,-2.9085274
11700,2,-1.2274894
11866,7,6.6944594
11866,3,1.9425697
11866,8,9.527926
11866,2,-1.4068252
11866,16,12.256219
11866,1,-2.2790444
11866,3,0.59797394
11866,2,-0.16616528
11866,2,0.47866416
11866,10,11.95661
11866,11,10.902695
11866,3,3.113908
11866,3,7.4535317
11866,2,0.88767153
11866,9,11.5928335
11877,2,0.46302754
11877,3,1.6816212
11877,9,10.238377
11877,0,-3.1861444
11877,4,3.0424771
11877,4,2.5043344
11877,2,0.85867673
128,2,-1.3551615
128,1,-2.6783824
128,0,-2.6616724
128,2,-1.2297095
128,2,-1.1647147
128,2,-0.79453665
128,6,5.783319
128,2,-1.0010997
12900,2,1.6231287
12900,7,9.244171
12900,1,-2.0330188
12900,2,-0.74137884
12900,5,5.557549
12900,11,11.16477
12900,2,0.53621936
12900,0,-2.5699036
12900,5,3.4441257
12900,16,11.478854
12902,5,5.5614505
12902,0,-3.8278015
12902,-1,-4.74269
12902,3,1.2891626
12902,1,-2.1784549
12902,2,-1.2013329
12902,2,-1.1285325
12902,3,1.2063293
12902,2,-0.21308105
12902,3,0.5675129
12902,1,-2.8865101
12911,2,-1.2979916
12911,1,-2.4974434
12911,5,5.489717
12911,3,-0.17335485
12911,4,1.5234298
12911,2,-1.1729386
12911,4,1.2658635
12911,1,-3.0436637
12911,2,-1.25996
12911,2,-1.2034274
12911,1,-2.7592762
12911,1,-2.3424144
12911,2,-1.2014066
12911,2,-1.5384516
12916,1,-2.3265707
12916,-6,-7.719254
12916,10,10.267358
12916,2,-2.6188457
12916,4,1.8460125
12916,-5,-4.7583785
12916,-1,-4.25028
12916,9,9.080323
12916,1,-3.114682
12916,2,-2.54541
12916,4,2.0620778
12916,2,-0.24554576
12916,2,-1.1385822
12941,3,1.4355574
12941,2,-1.9885465
12941,0,-3.7097342
12941,0,-3.057463
12941,3,0.4351678
12941,4,1.9883903
12941,3,0.5541752
12941,2,-1.7291691
12941,5,4.176102
12941,3,0.13930608
12941,2,-1.1613226
12941,6,5.346154
12941,5,2.0125601
12941,2,-0.7295685
12944,5,4.719855
12944,2,-0.1617351
12944,3,1.3078666
12944,10,11.561852
12944,10,11.620794
12944,4,3.2022579
12944,2,0.80385983
12944,0,-2.0826466
12944,1,-2.494962
12944,1,-2.9101808
12944,3,3.0349495
12944,6,6.999188
12945,1,-1.9524375
12945,3,0.4226572
12945,5,2.9210656
12945,2,-1.9400579
12945,4,3.7323115
12945,4,1.471116
12945,2,-1.2028812
12945,3,0.34221584
12945,3,0.12533589
12945,3,0.045435965
12945,1,-1.9670216
12945,3,0.1789087
12945,3,0.28299582
12945,4,2.6684544
12946,3,0.30420762
12946,1,-2.2558198
12946,2,-1.1017164
12946,1,-1.9630333
12946,3,0.46972293
12946,3,1.2302306
12946,2,-0.5085586
12946,2,-0.90014994
12946,2,-0.9852739
12946,3,0.43148416
12947,2,-1.3978479
12947,2,-1.2051435
12947,2,-1.4503609
12947,0,-3.071463
12947,2,-1.0859653
12947,3,0.41681653
12949,2,-2.239934
12949,0,-3.5175116
12949,-1,-3.9361045
12951,-4,-6.8854218
12951,3,-0.4445408
12951,1,-2.6328456
12951,3,-0.8145565
12951,1,-3.075688
12951,1,-2.134504
12951,3,0.6392135
12951,2,-1.214455
12951,4,0.9773777
12951,1,-2.567156
12951,2,-1.1579756
12951,0,-2.8348598
130,2,0.8368727
130,7,5.122921
130,5,6.2612543
130,6,5.7344375
130,7,4.9224916
130,5,6.8329706
130,1,-1.0583513
130,2,1.219993
130,2,3.6421123
130,5,4.770221
130,4,3.9469702
130,6,6.6699996
130,11,9.748394
130,3,3.5244377
130,4,4.602367
13004,2,-1.2946631
13004,2,-1.3521897
13004,2,-0.60148054
13004,1,-1.9935619
13004,1,-2.0769694
13004,1,-2.0430956
13005,4,3.291905
13005,8,8.3655
13005,7,8.85214
13005,7,7.2828107
13005,1,-1.3051251
13015,6,5.1912355
13015,4,2.1710048
13015,3,1.3851566
13015,12,11.264096
13015,2,-1.1771568
13015,10,10.475998
13015,2,-0.67726266
13015,7,8.146105
13015,4,4.868443
13015,2,-0.32117736
13015,9,10.68493
13015,4,2.843219
13015,2,-1.0153192
13015,2,-0.12249978
13015,9,11.471375
13420,11,11.507822
13420,4,1.3013933
13420,1,-2.8891654
13420,1,-0.43598038
13420,5,6.404618
13420,2,0.30383438
13420,2,-0.86482495
13420,2,-0.5715986
13420,2,-0.94041663
13697,2,-0.28772265
13697,4,1.7198495
13697,5,4.602279
13697,6,7.629186
13697,5,3.142612
13697,4,1.785292
13697,3,1.1139339
13697,5,4.0533257
13697,5,3.8432753
13697,3,1.0495675
13697,3,0.5399087
13697,6,6.464782
13702,2,0.741019
13702,2,-0.911324
13702,3,0.6492381
13702,2,-1.1279813
13702,9,9.280038
13702,0,-2.9320762
13702,1,-1.9757072
13702,2,-0.61085165
13971,2,-1.3486847
13971,1,-1.8603675
13971,2,-0.15629856
13971,9,9.784032
13971,9,10.96547
13971,1,-2.9839537
13971,2,0.30616903
13971,1,-1.9052397
13971,1,-1.6704301
14379,1,-3.7775
14379,4,1.8574065
14379,2,-1.7755576
14379,1,-2.1990116
14691,1,-2.5963957
14691,4,2.9975965
14691,3,1.3166629
14691,2,-1.0757469
14691,5,6.277748
14691,2,-1.0790004
14691,3,0.54189706
14691,1,-1.9854022
14691,3,1.3204812
14691,4,3.3226006
14691,5,6.1753335
14691,5,7.118296
14762,3,0.210054
14762,0,-2.3473766
14762,0,-2.2494125
14789,4,2.4201877
14789,-2,-5.1733475
14789,3,0.6984198
14789,6,4.4454684
14789,11,11.268261
14789,-6,-7.2839494
14789,11,10.701614
