Fantasy_Game_ID,simplified_name,Sofascore_ID
10024,mauroarambarri,385888
10212,gabrielpaulista,124737
10214,nachovidal,844752
11091,braisméndez,845385
11092,andonigorosabel,866810
11250,ignasimiquel,144606
11418,franciscoquelin,40672
11697,lucasboyé,814385
11700,ferrantorres,855833
11866,hugoduro,909119
11877,miguelrubio,934351
128,borjaiglesias,785989
12900,viníciusjúnior,868812
12902,raúldetomás,138387
12911,gonzalomelero,789886
12941,óscartrejo,21949
12944,sergioakieme,827942
12945,franbeltrán,835484
12946,santicomesaña,843678
12947,kevinvázquez,795257
12949,thomaslemar,191182
12951,jaimemata,351140
130,iagoaspas,19356
13004,sergiguardiola,141945
13005,andriylunin,857574
13015,chrisramos,914819
13420,mouctardiakhaby,797306
13697,mikelmerino,592010
13971,marccardona,841854
14379,aitorfernández,99516
14691,adriàpedrosa,928672
14762,andrésilva,190159
14789,oihansancet,966801
14791,gorkaguruzeta,605672
14796,óscarrodríguez,794948
14811,unaisimón,797291
14839,manumorlanes,826004
14911,álvarogarcía,345111
15338,robinlenormand,787751
15339,valeryfernández,962378
15342,anderbarrenetxea,966862
15344,brahimdíaz,835485
15345,aihenmuñoz,966441
15566,yangelherrera,839585
15693,javigalán,825133
15756,alejandrocatena,900792
158,danigarcía,298920
162,gonzaloescalante,316170
16779,álexsola,966836
1684,kikegarcía,84972
16868,anderguevara,891931
1689,rubénpeña,255973
16976,martínzubimendi,966837
1708,álvaromorata,125407
171,rubénduarte,253415
1718,aridanehernández,41013
17290,sergiocamello,910024
17291,carlespérez,794950
1743,víctordíaz,141655
17452,édermilitão,822519
17453,frenkiedejong,795222
17459,rodrygo,910536
17461,fedesanemeterio,376382
175,antonioraíllo,807116
1759,davidgarcía,84069
1759,davidgarcía,591136
17614,kikebarja,591132
17615,sergioherrera,294377
1762,álexberenguer,592012
17620,antoniopuertas,316406
17623,ferlandmendy,792073
1773,kepaarrizabalaga,232422
1775,rubénsobrino,329563
17975,abdónprats,146852
17979,martinvaljent,300522
17980,danirodríguez,349526
17981,iddrisubaba,914014
17989,jorgedefrutos,900003
18004,antebudimir,37318
18109,luisrioja,900433
18186,juleskoundé,827212
18221,joãofélix,851671
18223,lucasocampos,155702
18317,raúlalbiol,3041
18437,albertomoreno,229740
18465,josephaidoo,796320
18532,aleksandarsedlar,799195
18533,fernando,41837
18555,domingosduarte,576276
19146,nabilfekir,337671
19168,nemanjagudelj,68332
19514,carlosneva,914178
19527,jonmoncayola,976141
19562,takefusakubo,880218
196,damiánsuárez,36982
19727,rodrigoriquelme,989113
19747,thierrycorreia,851282
19977,ronaldaraújo,925097
20111,eriklamela,122702
20320,iñakipeña,794949
20346,guidorodríguez,609752
20481,suso,96370
208,moigómez,149370
21,ikermuniain,71707
213,stoledimitrievski,97951
21592,hugoguillamón,855830
217,dimitrifoulquier,151138
22459,kikepérez,857178
22471,jonpacheco,934383
22527,aimaroroz,985329
22543,renatotapia,352376
22547,pedri,992587
22591,rafamir,825754
22601,pepelu,826948
22612,luismilla,811629
22617,davidgil,138390
22619,izacarcelén,800403
22623,álexfernández,148588
22629,albertoperea,52125
22668,lucastorró,187313
22720,juanmiranda,855829
22877,juancruz,936234
22877,juancruz,897902
51060,juancruz,936234
51060,juancruz,897902
22880,omenukemfulu,552668
229,darwinmachís,252863
22930,jeremíasledesma,341097
23002,shonweissman,790817
23171,marvinpark,960401
23172,urkogonzález,1064009
23173,sergioarribas,863153
23173,sergioarribas,997203
23184,jorgecuenca,868715
23327,luissuárez,16943
23369,juanfoyth,873189
24,unailópez,588566
24691,miguelrodríguez,1014118
24778,robertnavarro,944165
24789,nicowilliams,1085400
24790,étiennecapoue,16701
24792,juaniglesias,949707
25606,paulogazzaniga,164343
25621,andreirațiu,965031
25657,ricardsánchez,986726
25867,antonioblanco,855832
25872,miguelgutiérrez,908716
268,josémari,141997
269,joséluismorales,344129
270,rubéngarcía,260031
27298,davidalaba,66492
27333,ericgarcía,876214
27425,iñigoruizdegalarreta,96365
27428,antoniosánchez,949722
27510,memphisdepay,138833
27517,isipalazón,899982
27518,óscarvalentín,900008
27520,frangarcía,851271
277,rogermartí,212074
27841,youssoufsabaly,111803
27852,danielvivian,910978
27874,ivánmartín,973699
28274,stefanmitrović,108736
28279,francocervi,557008
28611,rodrigodepaul,249399
28613,omaralderete,805137
28621,abdelkabirabqar,1101232
28677,beñatprados,1012409
28773,aitorparedes,959872
28776,beñatturrientes,980410
28778,juanlusánchez,1010655
28784,joséángelcarmona,1015240
28791,jesúsvázquez,996929
28794,filipjörgensen,962053
29,iñakiwilliams,783374
29111,raúltorrente,1134758
29205,alejandrobalde,997035
29235,gavi,1103693
29402,randynteka,932764
298,sergidarder,110783
3060,marianodíaz,175753
308,johanmojica,344847
31,janoblak,69768
3117,diegorico,350560
31213,luísmaximiano,845797
31267,omarmascarell,255999
31355,alexandersørloth,309078
31496,héctorbellerín,188365
3154,mikelvesga,359742
321,bebé,124950
33032,radamelfalcao,25682
332,nachofernández,69404
334,sergioramos,10710
33896,iliasakhomach,1089108
340,isco,103417
343,tonikroos,26502
345,lucasvázquez,255239
