id,real_rating,predicted_rating
,7.28,7.2716284
,6.66,6.6798477
,6.9,6.846872
,6.72,6.727606
6040.0,7.04,6.879397
,6.63,6.6796675
,6.92,6.798301
,6.85,6.734687
14796.0,6.78,6.8488684
,6.96,6.9344354
,6.53,6.6814995
,6.6,6.659057
,6.76,6.8708286
,6.86,6.9527373
22720.0,7.04,6.9867907
,6.9,6.870841
,6.75,6.892597
15693.0,6.85,6.905916
,6.74,6.7629743
,6.55,6.5662875
22720.0,6.97,6.942632
556.0,6.64,6.726903
,6.7,6.753399
54900.0,6.59,6.4974236
,6.52,6.643748
24790.0,6.99,6.9790683
,6.8,6.8485756
42.0,7.18,7.1645703
31267.0,6.65,6.7475023
5920.0,6.63,6.6856775
51.0,7.49,7.4957523
14379.0,6.88,6.8885975
79.0,6.9,6.8371572
55484.0,6.81,6.8332906
,6.6,6.6857195
,6.8,6.7565746
11877.0,6.7,6.764918
15566.0,7.09,7.019987
,6.74,6.773937
,6.79,6.924745
51992.0,7.08,6.985666
,7.3,7.1781683
53340.0,6.55,6.5915933
,6.77,6.8411365
,6.98,7.058492
,6.9,6.9715896
,6.9,6.9629908
3729.0,6.9,6.8693647
,6.68,6.6528263
22471.0,6.78,6.8630266
37.0,6.92,6.9312935
55667.0,6.73,6.7574034
,6.83,6.85752
,6.77,6.835567
,6.83,6.9243484
,6.27,6.6667275
,7.13,7.047368
13004.0,6.56,6.783418
,6.9,6.8429756
52130.0,6.89,6.919721
,6.97,6.969633
12900.0,6.76,6.8471527
,6.93,6.9516335
,7.25,7.243952
,6.54,6.628534
,6.95,6.803513
361.0,6.96,6.9819417
564.0,6.83,6.9166026
44.0,6.68,6.7395487
,6.5,6.6002183
,6.99,6.888317
,6.73,6.7451267
17979.0,6.81,6.769796
,6.9,6.787429
3117.0,6.91,6.865472
,6.59,6.491225
,6.63,6.609986
36332.0,6.59,6.692884
,6.65,6.728896
,7.21,7.1194115
27333.0,6.87,6.9016905
10212.0,7.02,7.1106815
13697.0,6.79,6.8245273
1759.0,6.93,6.989184
,6.56,6.5657454
33896.0,7.25,6.872932
,6.79,6.91547
,6.6,6.6857195
,6.74,6.726946
6025.0,6.2,6.5620413
1762.0,6.89,6.974718
,6.5,6.592216
22619.0,6.68,6.7420273
,6.93,6.89151
17452.0,6.91,6.9850283
,6.53,6.6274962
,6.71,6.7835875
,7.13,7.040703
,6.89,6.843715
,6.67,6.657345
,6.94,6.842317
12947.0,6.69,6.7324147
217.0,6.62,6.641755
,6.69,6.675683
,6.7,6.8309426
,6.6,6.62223
12941.0,7.0,7.0207963
12945.0,6.61,6.624063
,6.99,6.9578357
,6.78,6.794389
,7.1,6.907141
22547.0,7.53,7.1773353
,6.96,6.9162335
,6.79,6.8460255
17981.0,6.65,6.6994767
55009.0,6.82,6.812513
,6.65,6.56521
,6.56,6.591903
,6.91,6.8034754
,6.73,6.7849474
561.0,6.89,6.859313
11700.0,6.88,6.8771167
,6.91,6.974305
28611.0,6.88,6.8457522
,6.72,6.7404337
,6.67,6.6693387
12951.0,6.63,6.6023107
277.0,6.77,6.6985836
7843.0,6.72,6.82619
,6.78,6.782545
,6.81,6.815525
,6.74,6.7615633
,6.84,6.798321
,6.68,6.761901
,6.73,6.7389693
,7.04,6.951797
,6.85,6.8503184
,6.59,6.566546
448.0,6.98,7.0292816
,6.85,6.915073
27333.0,6.92,6.9292455
361.0,7.06,7.042336
389.0,6.6,6.574614
,6.76,6.7422514
,6.6,6.6911407
54853.0,6.6,6.642353
,6.89,6.881841
,6.6,6.6882334
,6.58,6.822871
,6.77,6.737607
,6.68,6.8480673
22619.0,6.77,6.7966075
,7.0,6.964612
15338.0,7.06,6.975151
,6.9,6.7750735
,6.56,6.7500625
,6.58,6.5462174
,6.7,6.525972
14789.0,6.9,6.8803277
,7.0,7.045942
,6.82,6.7264132
12949.0,6.84,6.9175186
,6.81,6.8026237
22459.0,6.66,6.7246895
,6.51,6.663254
,6.7,6.7694335
,6.92,6.9970293
,7.0,7.045942
12949.0,7.02,6.9940915
,6.89,6.9382887
18109.0,6.69,6.6484766
,6.73,6.7887387
,6.81,6.83543
343.0,7.6,7.525942
,6.68,6.679567
,7.09,7.0896287
12945.0,6.77,6.779359
,7.12,7.11826
22930.0,7.17,7.234376
11418.0,6.73,6.8341913
,6.6,6.7260933
22471.0,6.76,6.7908773
,6.91,6.9101734
,7.3,7.1781683
15344.0,6.96,6.983679
,6.77,6.780578
,6.74,6.726946
,6.78,6.8392625
,6.86,6.858749
40031.0,6.75,6.813486
8952.0,6.98,6.9549685
,6.9,6.9557242
,6.85,6.8311234
,6.59,6.674436
17452.0,7.14,7.1549745
,6.58,6.629122
,6.63,6.8184
1759.0,6.78,6.852468
11418.0,6.7,6.7707553
,6.79,6.74328
12941.0,6.71,6.727001
474.0,6.63,6.7918777
,6.94,6.963387
36332.0,6.71,6.795252
,8.43,8.197518
,7.31,7.2641225
,6.68,6.7148995
,6.9,6.7750735
,6.67,6.65117
,6.93,6.872178
3720.0,7.18,7.1831484
3778.0,7.21,7.158405
5642.0,6.61,6.7042956
,6.66,6.846909
,7.01,7.0462203
74.0,6.99,7.0026703
,6.88,6.979683
6040.0,7.04,6.879397
12900.0,6.92,6.844496
,6.9,6.9252396
,6.94,6.981911
,6.82,6.899227
,6.87,6.855467
,6.6,6.6807437
,6.57,6.6358333
22880.0,6.73,6.8452168
444.0,7.14,7.42575
,7.11,7.0676246
,6.53,6.6297407
,6.83,6.900334
,6.61,6.67904
,6.67,6.698649
,6.7,6.699986
,6.67,6.7107115
345.0,6.99,7.014508
,6.62,6.712364
20346.0,7.07,7.0128646
,6.83,6.8588853
,6.81,6.982347
269.0,6.58,6.540868
19977.0,6.78,6.832797
,6.71,6.7358227
10212.0,7.09,7.021803
1743.0,6.6,6.69222
,6.64,6.6879535
,7.05,6.9029098
,6.58,6.721252
,6.51,6.609612
,6.74,6.833737
,6.7,6.6852093
,7.03,7.0017214
,6.59,6.643658
175.0,6.86,6.818246
,6.89,6.9126587
,7.18,7.1457148
,6.66,6.723676
,6.76,6.862495
55743.0,6.4,6.6369524
