Rank,Team Name,Total Points,Goals Difference,Games Played,Games Won,Games Draw,Games Lost,All goals for,All Goals Against,Home games wins,Home games draws,Home games loses,Home games goals for,Home games Goals Against,Away games Wins,Away games Draws,Away games Loses,Away games goals for,Away games goals Against,Date
1,Real Madrid,48,29,19,15,3,1,40,11,8,1,0,22,4,7,2,1,18,7,2024-01-11 20:42:25.440810
2,Girona,48,22,19,15,3,1,46,24,8,1,1,25,13,7,2,0,21,11,2024-01-11 20:42:25.440810
3,Barcelona,41,14,19,12,5,2,36,22,8,0,2,21,11,4,5,0,15,11,2024-01-11 20:42:25.440810
4,Athletic Club,38,17,19,11,5,3,36,19,7,2,1,25,11,4,3,2,11,8,2024-01-11 20:42:25.440810
5,Atletico Madrid,38,16,19,12,2,5,39,23,9,1,0,23,11,3,1,5,16,12,2024-01-11 20:42:25.440810
6,Real Sociedad,32,11,19,8,8,3,30,19,5,4,1,18,11,3,4,2,12,8,2024-01-11 20:42:25.440810
7,Real Betis,28,1,19,6,10,3,21,20,5,4,0,12,4,1,6,3,9,16,2024-01-11 20:42:25.440810
8,Getafe,26,-1,19,6,8,5,24,25,5,3,1,9,6,1,5,4,15,19,2024-01-11 20:42:25.440810
9,Valencia,26,-1,19,7,5,7,22,23,5,2,2,12,5,2,3,5,10,18,2024-01-11 20:42:25.440810
10,Las Palmas,25,-1,19,7,4,8,16,17,4,3,2,10,7,3,1,6,6,10,2024-01-11 20:42:25.440810
11,Rayo Vallecano,23,-6,19,5,8,6,18,24,1,5,3,9,16,4,3,3,9,8,2024-01-11 20:42:25.440810
12,Osasuna,22,-7,19,6,4,9,22,29,3,3,4,9,12,3,1,5,13,17,2024-01-11 20:42:25.440810
13,Villarreal,19,-11,19,5,4,10,27,38,3,1,6,17,21,2,3,4,10,17,2024-01-11 20:42:25.440810
14,Mallorca,18,-6,19,3,9,7,17,23,2,6,1,8,7,1,3,6,9,16,2024-01-11 20:42:25.440810
15,Alaves,17,-10,19,4,5,10,15,25,4,1,4,10,11,0,4,6,5,14,2024-01-11 20:42:25.440810
16,Sevilla,16,-4,19,3,7,9,23,27,2,4,4,13,15,1,3,5,10,12,2024-01-11 20:42:25.440810
17,Celta Vigo,16,-9,19,3,7,9,20,29,2,4,4,8,13,1,3,5,12,16,2024-01-11 20:42:25.440810
18,Cadiz,15,-12,19,2,9,8,14,26,2,5,2,8,9,0,4,6,6,17,2024-01-11 20:42:25.440810
19,Granada CF,11,-18,19,2,5,12,22,40,2,4,4,14,19,0,1,8,8,21,2024-01-11 20:42:25.440810
20,Almeria,5,-24,19,0,5,14,19,43,0,4,5,10,18,0,1,9,9,25,2024-01-11 20:42:25.440810
