Team Name,Points,Average,Value,Players
Admin,606,50.5,208.3M,20
M31-G6-AcMilanesa,579,48.3,147.3M,14
M32-G7-KleinGroup,356,29.7,44.3M,15
M*****,307,25.6,17.3M,15
M31-G2-UA2C,392,32.7,132.5M,14
M31-G5-REALE,229,20.8,41.4M,15
M31-G3-CactusPanda,442,36.8,90.9M,12
M31-G1-FutX,447,37.3,82.8M,12
M32-G3-GoalAnalitics,475,39.6,102.5M,19
M32-G5-BabooManager,490,40.8,98.7M,15
M32-G8 - Los Capys,337,33.7,38.4M,15
M32-G6_Jammin&#039;,323,26.9,44.6M,15
M32-G2-dreamx1,311,25.9,49.9M,15
M31-G4-DLA,277,23.1,44.9M,16
M31-G7-DraftKings,587,48.9,151.4M,17
M32-G2-xGarcii,235,33.6,26.9M,15
M32-G9-PREDITECH INSIGHTS,431,35.9,82.8M,11
jluzon,398,33.2,77.5M,16
