Team Name,Position,Name,Surname
Admin,Forward,Mikel,Oyarzabal
Admin,Forward,Vinícius,Júnior
Admin,Midfielder,,Isco
Admin,Midfielder,Nico,Williams
Admin,Midfielder,,Pepelu
Admin,Defence,Dani,Carvajal
Admin,Defence,Yuri,Berchiche
Admin,Defence,Aitor,Ruibal
Admin,Defence,Daniel,Vivian
Admin,Defence,Kieran,Tierney
Admin,Goalkeeper,Jeremías,Ledesma
Admin,Defence,David,López
Admin,Defence,Óscar,Mingueza
Admin,Midfielder,Arda,Güler
Admin,Midfielder,Brahim,Díaz
Admin,Midfielder,Renato,Tapia
Admin,Midfielder,Takefusa,Kubo
Admin,Forward,Giuliano,Simeone
Admin,Forward,,Sandro
Admin,Forward,Vitor,Roque
M31-G6-AcMilanesa,Forward,Álvaro,Morata
M31-G6-AcMilanesa,Forward,Ilias,Akhomach
M31-G6-AcMilanesa,Midfielder,Frenkie De,Jong
M31-G6-AcMilanesa,Midfielder,Alex,Baena
M31-G6-AcMilanesa,Midfielder,Viktor,Tsygankov
M31-G6-AcMilanesa,Midfielder,Pablo,Torre
M31-G6-AcMilanesa,Defence,José Luis,Gayà
M31-G6-AcMilanesa,Defence,Gabriel,Paulista
M31-G6-AcMilanesa,Defence,Antonio,Rüdiger
M31-G6-AcMilanesa,Defence,Yan,Couto
M31-G6-AcMilanesa,Goalkeeper,Giorgi,Mamardashvili
M31-G6-AcMilanesa,Defence,Eric,García
M31-G6-AcMilanesa,Defence,Nacho,Fernández
M31-G6-AcMilanesa,Midfielder,Aurélien,Tchouaméni
M31-G6-AcMilanesa,Forward,,Rodrygo
M32-G7-KleinGroup,Forward,Raúl de,Tomás
M32-G7-KleinGroup,Forward,Sory,Kaba
M32-G7-KleinGroup,Midfielder,Samuel,Lino
M32-G7-KleinGroup,Midfielder,Rubén,García
M32-G7-KleinGroup,Midfielder,Óscar,Melendo
M32-G7-KleinGroup,Midfielder,Manu,Morlanes
M32-G7-KleinGroup,Defence,Sergio,Akieme
M32-G7-KleinGroup,Defence,Antonio,Raíllo
M32-G7-KleinGroup,Defence,Andoni,Gorosabel
M32-G7-KleinGroup,Defence,Lucas,Pires
M32-G7-KleinGroup,Goalkeeper,Jan,Oblak
M32-G7-KleinGroup,Goalkeeper,Juan Carlos,Martín
M32-G7-KleinGroup,Defence,Víctor,Díaz
M32-G7-KleinGroup,Midfielder,Joel,Roca
M32-G7-KleinGroup,Midfielder,José,Mari
M*****,Forward,Juanmi,Latasa
M*****,Forward,Marc,Guiu
M*****,Midfielder,Lucas,Torró
M*****,Midfielder,Gonzalo,Melero
M*****,Midfielder,Omar,Mascarell
M*****,Midfielder,Óscar,Rodríguez
M*****,Defence,Nahuel,Molina
M*****,Defence,Yeray,Álvarez
M*****,Defence,César,Montes
M*****,Defence,Daley,Sinkgraven
M*****,Goalkeeper,Unai,Marrero
M*****,Goalkeeper,Pepe,Reina
M*****,Midfielder,Brian,Ocampo
M*****,Midfielder,Nabil,Fekir
M*****,Forward,Jon,Magunazelaia
M31-G2-UA2C,Forward,Robert,Lewandowski
M31-G2-UA2C,Midfielder,Toni,Kroos
M31-G2-UA2C,Midfielder,Fede,Valverde
M31-G2-UA2C,Midfielder,Luis,Rioja
M31-G2-UA2C,Midfielder,Jude,Bellingham
M31-G2-UA2C,Midfielder,Mikel,Vesga
M31-G2-UA2C,Defence,Aitor,Paredes
M31-G2-UA2C,Defence,Juanlu,Sánchez
M31-G2-UA2C,Defence,Sergio,Ramos
M31-G2-UA2C,Defence,Rubén,Peña
M31-G2-UA2C,Goalkeeper,Iñaki,Peña
M31-G2-UA2C,Defence,Kike,Salas
M31-G2-UA2C,Defence,Loïc,Badé
M31-G2-UA2C,Midfielder,Fran,Pérez
M31-G5-REALE,Forward,Memphis,Depay
M31-G5-REALE,Forward,Ben Brereton,Díaz
M31-G5-REALE,Midfielder,Álex,Berenguer
M31-G5-REALE,Midfielder,Mikel,Merino
M31-G5-REALE,Midfielder,Njegoš,Petrović
M31-G5-REALE,Defence,Aïssa,Mandi
M31-G5-REALE,Defence,Pablo,Maffeo
M31-G5-REALE,Defence,Eric,Curbelo
