Player full name,Position,Team,Opposing Team,Game Week,Mixed,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Current Value,Points,Average,Matches,Goals Metadata,Cards,Total Passes,Accurate Passes,Total Long Balls,Accurate Long Balls,Total Crosses,Accurate Crosses,Total clearances,Clearances on goal line,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Dribbled Past,Losses,Total Dribbles,Completed dribbles,High clearances,Fist clearances,Failures that lead to shot,Failures that lead to goal,Shots Off Target,Shots on Target,Shots blocked in attack,Shots blocked in defence,Occasions created,Goal assists,Shots to the crossbar,Failed obvious occasions,Penalties commited,Penalties caused,Failed penalties,Stopped penalties,Goals,Own goals,Stops from inside the area,Stops,Goals avoided,Interceptions,Total outputs,Precise outputs,Total Tackles,Fouls Received,Fouls Committed,Offsides,Minutes Played,Touches,Entries as last man,Possessions Lost,Expected Goals,Key Passes,Expected Assists,Average Season 15/16,Average Season 16/17,Average Season 17/18,Average Season 18/19,Average Season 19/20,Average Season 20/21,Average Season 21/22,Average Season 22/23,Average Season 23/24,Timestamp
AbdeEzzalzouli,3,Betis,Getafe,1,5,6,6,6,2,4.947.000,40,3.6,11,1,0,18,11,0,0,4,0,0,0,0,1,2,4,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,45,37,0,17,0.2,0,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:40:07.659194
AbdeEzzalzouli,3,Betis,Barcelona,2,4,6,2,6,5,4.947.000,40,3.6,11,1,0,8,7,0,0,3,1,0,0,2,0,6,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,22,24,0,6,0.0,2,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:40:06.105107
AbdeEzzalzouli,3,Betis,Barcelona,5,2,-2,2,6,3,4.947.000,40,3.6,11,1,0,15,14,2,1,1,0,0,0,0,0,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,45,27,0,4,0.0,0,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:40:03.543559
AbdeEzzalzouli,3,Betis,Cádiz,6,4,2,6,6,5,4.947.000,40,3.6,11,1,0,21,20,0,0,4,0,0,0,1,0,4,4,0,2,4,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,39,0,9,0.1,1,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:40:01.861715
AbdeEzzalzouli,3,Betis,Granada,7,2,2,2,2,3,4.947.000,40,3.6,11,1,0,15,12,0,0,3,0,0,0,0,1,1,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,26,0,8,0.0,0,0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:40:00.172541
AbdeEzzalzouli,3,Betis,Valencia,8,8,9,9,9,8,4.947.000,40,3.6,11,1,0,6,6,0,0,0,0,0,0,1,0,4,1,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,15,0,5,0.2,1,0.1,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:39:58.518760
AbdeEzzalzouli,3,Betis,Alavés,9,2,2,2,2,2,4.947.000,40,3.6,11,1,0,3,2,0,0,0,0,0,0,2,0,5,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,9,0,5,0,0,0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:39:56.777670
AbdeEzzalzouli,3,Betis,Getafe,10,1,2,2,-2,3,4.947.000,40,3.6,11,1,0,12,8,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,18,19,0,6,0.1,0,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:39:55.127822
AbdeEzzalzouli,3,Betis,Osasuna,11,3,2,6,2,3,4.947.000,40,3.6,11,1,0,6,6,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,5,0.0,0,0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:39:53.466781
AbdeEzzalzouli,3,Betis,Mallorca,12,3,2,6,2,4,4.947.000,40,3.6,11,1,0,10,6,1,0,0,0,0,0,0,1,2,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,15,0,6,0.1,0,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:39:51.764473
AbdeEzzalzouli,3,Betis,Sevilla,13,1,2,2,2,1,4.947.000,40,3.6,11,1,0,9,7,0,0,1,0,0,0,0,2,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,16,0,7,0,0,0.0,0,0,0,0,0,0,4.9,4.5,3.6,2023-11-22 19:39:50.090914
AbdeRebbach,2,Alavés,Cádiz,1,3,2,2,6,3,550.000,26,2.9,10,0,0,8,8,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,11,0,2,0,0,0.0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:40.776442
AbdeRebbach,2,Alavés,Getafe,3,2,0,0,6,4,550.000,26,2.9,10,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,7,0,3,0,1,0.0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:38.763135
AbdeRebbach,2,Alavés,Rayo Vallecano,5,2,2,2,2,3,550.000,26,2.9,10,0,0,10,5,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,14,0,6,0,0,0.0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:36.810086
AbdeRebbach,2,Alavés,Athletic Club,6,2,2,2,2,4,550.000,26,2.9,10,0,0,9,6,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,5,0,2,0.0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:35.184478
AbdeRebbach,2,Alavés,Celta,7,4,6,2,6,2,550.000,26,2.9,10,0,0,12,10,0,0,5,1,1,0,0,1,6,2,3,1,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,0,13,0.1,2,0.4,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:33.664694
AbdeRebbach,2,Alavés,Betis,9,0,0,0,0,3,550.000,26,2.9,10,0,0,2,1,1,0,1,0,0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:31.475158
AbdeRebbach,2,Alavés,Atlético,11,2,2,2,2,3,550.000,26,2.9,10,0,0,7,6,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:29.419183
AbdeRebbach,2,Alavés,Almería,12,5,6,6,2,6,550.000,26,2.9,10,0,0,3,3,0,0,8,2,0,0,2,0,5,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,22,24,0,10,0,3,0.2,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:27.835445
AbdeRebbach,2,Alavés,Barcelona,13,3,2,2,6,2,550.000,26,2.9,10,0,0,2,2,0,0,2,1,0,0,1,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,7,0,3,0.1,0,0.0,0,0,0,0,0,0,0,0,2.9,2023-11-22 19:39:26.133599
AbdelkabirAbqar,1,Alavés,Cádiz,1,3,2,2,6,4,1.560.000,33,3.3,10,0,3,33,24,10,4,0,0,3,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,90,41,0,9,0,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:32.841641
AbdelkabirAbqar,1,Alavés,Sevilla,2,1,2,2,2,1,1.560.000,33,3.3,10,0,3,19,12,11,7,0,0,7,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,90,29,0,8,0,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:31.157902
AbdelkabirAbqar,1,Alavés,Getafe,3,3,-2,2,10,4,1.560.000,33,3.3,10,0,3,25,18,11,5,0,0,3,0,3,4,7,5,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,89,36,0,8,0.0,0,0.0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:29.558461
AbdelkabirAbqar,1,Alavés,Rayo Vallecano,5,2,2,2,2,5,1.560.000,33,3.3,10,0,3,29,18,9,2,0,0,6,0,2,3,3,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,90,49,0,12,0,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:27.416273
AbdelkabirAbqar,1,Alavés,Athletic Club,6,2,2,2,2,3,1.560.000,33,3.3,10,0,3,29,22,7,3,0,0,6,0,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,39,0,7,0,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:25.579496
AbdelkabirAbqar,1,Alavés,Betis,9,3,2,6,0,4,1.560.000,33,3.3,10,0,3,35,29,9,5,0,0,4,0,0,0,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,90,45,0,7,0,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:23.075346
AbdelkabirAbqar,1,Alavés,Villareal,10,6,6,6,10,4,1.560.000,33,3.3,10,0,3,22,15,7,3,0,0,3,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,90,33,0,7,0,0,0.0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:21.179790
AbdelkabirAbqar,1,Alavés,Atlético,11,2,2,2,2,2,1.560.000,33,3.3,10,0,3,43,34,6,1,0,0,4,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,90,55,0,10,0.1,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:19.385329
AbdelkabirAbqar,1,Alavés,Almería,12,4,2,6,6,5,1.560.000,33,3.3,10,0,3,22,18,6,3,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,29,0,4,0.1,1,0.0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:17.550194
AbdelkabirAbqar,1,Alavés,Barcelona,13,0,2,2,-2,1,1.560.000,33,3.3,10,0,3,15,11,3,1,0,0,8,0,0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,90,31,0,5,0,0,0,0,0,0,0,0,0,0,0,3.3,2023-11-22 19:38:15.804123
AbdulMumin,1,Rayo Vallecano,Granada,2,1,2,0,0,3,1.486.000,17,3.4,5,1,2,8,8,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3.4,2023-11-22 19:37:39.131215
AbdulMumin,1,Rayo Vallecano,Cádiz,7,-6,-4,-8,-8,-4,1.486.000,17,3.4,5,1,2,29,19,6,0,0,0,7,0,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,88,39,0,10,0,0,0,0,0,0,0,0,0,0,2.5,3.4,2023-11-22 19:37:35.778186
AbdulMumin,1,Rayo Vallecano,Real Sociedad,11,11,11,11,11,12,1.486.000,17,3.4,5,1,2,36,30,6,3,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,90,44,0,6,0.0,0,0,0,0,0,0,0,0,0,2.5,3.4,2023-11-22 19:37:32.661036
AbdulMumin,1,Rayo Vallecano,Real Madrid,12,5,2,6,6,6,1.486.000,17,3.4,5,1,2,21,18,4,2,0,0,12,0,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,39,0,3,0,0,0,0,0,0,0,0,0,0,2.5,3.4,2023-11-22 19:37:30.844307
AbdulMumin,1,Rayo Vallecano,Girona,13,6,6,6,6,6,1.486.000,17,3.4,5,1,2,36,32,7,5,0,0,6,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,90,51,0,5,0,0,0.0,0,0,0,0,0,0,0,2.5,3.4,2023-11-22 19:37:29.080358
AbdónPrats,3,Mallorca,Granada,3,8,9,9,9,8,3.830.000,50,5.6,9,4,0,11,5,1,0,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,57,17,0,9,0.6,0,0.0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:44.637227
AbdónPrats,3,Mallorca,Athletic Club,4,1,0,2,0,3,3.830.000,50,5.6,9,4,0,3,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,3,0,0,0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:42.970330
AbdónPrats,3,Mallorca,Girona,6,15,16,16,12,17,3.830.000,50,5.6,9,4,0,7,7,0,0,0,0,0,0,0,2,2,3,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,12,15,0,3,0.6,0,0.4,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:40.989779
AbdónPrats,3,Mallorca,Barcelona,7,8,9,9,9,8,3.830.000,50,5.6,9,4,0,11,5,1,0,1,0,0,0,3,0,5,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,62,18,0,9,0.1,1,0.0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:39.335696
AbdónPrats,3,Mallorca,Rayo Vallecano,8,4,2,6,6,5,3.830.000,50,5.6,9,4,0,15,10,1,0,0,0,0,0,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,64,20,0,7,0,1,0.2,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:37.575989
AbdónPrats,3,Mallorca,Valencia,9,3,2,2,6,3,3.830.000,50,5.6,9,4,0,11,8,0,0,0,0,0,0,3,3,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,61,18,0,6,0.1,0,0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:35.821378
AbdónPrats,3,Mallorca,Real Sociedad,10,1,2,2,0,2,3.830.000,50,5.6,9,4,0,2,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,2,0,0,0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:34.113652
AbdónPrats,3,Mallorca,Getafe,11,4,6,2,6,5,3.830.000,50,5.6,9,4,0,15,11,0,0,0,0,2,0,6,2,7,6,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,65,25,0,6,0.0,3,0.0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:32.518448
AbdónPrats,3,Mallorca,Betis,12,1,2,0,0,2,3.830.000,50,5.6,9,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,0,0,0,0,0,0,0,1.4,0,2.5,2.3,5.6,2023-11-22 19:38:30.751218
AbnerVinícius,1,Betis,Villareal,1,3,2,2,2,7,243.000,23,2.6,9,0,2,28,22,1,0,2,0,3,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,90,59,0,11,0.0,0,0.0,0,0,0,0,0,0,0,1.0,2.6,2023-11-22 19:39:46.078668
AbnerVinícius,1,Betis,Atlético,2,4,2,2,6,6,243.000,23,2.6,9,0,2,57,51,4,2,6,0,1,0,0,0,4,2,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,90,84,0,18,0.0,1,0.0,0,0,0,0,0,0,0,1.0,2.6,2023-11-22 19:39:44.405969
AbnerVinícius,1,Betis,Athletic Club,3,0,-2,2,2,-1,243.000,23,2.6,9,0,2,25,16,2,0,1,0,2,0,3,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,58,40,0,14,0,0,0,0,0,0,0,0,0,0,1.0,2.6,2023-11-22 19:39:42.769553
