ID,Player full name,Current Value,Points,Average,Matches,Goals,Cards,Time Stamp
10024,MauroArambarri,209.000,22,3.1,7,0,2,2023-12-06 07:03:44.660704
10212,GabrielPaulista,5.948.000,44,3.7,12,0,4,2023-12-06 07:01:16.031102
10214,NachoVidal,200.000,20,5.0,4,1,0,2023-12-06 07:03:46.207159
11091,BraisMéndez,15.847.000,90,6.4,14,2,5,2023-12-06 07:02:54.173955
11092,AndoniGorosabel,2.260.000,51,3.4,15,0,3,2023-12-06 07:01:45.789942
11250,IgnasiMiquel,1.819.000,47,3.1,15,0,3,2023-12-06 07:04:06.938403
11418,FrancisCoquelin,251.000,2,2.0,1,0,0,2023-12-06 07:01:12.740177
11680,ChocoLozano,160.000,10,1.7,6,0,1,2023-12-06 07:01:41.194353
11697,LucasBoyé,5.867.000,39,3.5,11,3,4,2023-12-06 07:03:06.967552
11700,FerranTorres,7.254.000,59,4.2,14,3,2,2023-12-06 07:02:16.484303
11866,HugoDuro,10.363.000,85,5.7,15,7,2,2023-12-06 07:03:23.743012
11877,MiguelRubio,160.000,28,4.0,7,1,1,2023-12-06 07:03:44.702489
128,BorjaIglesias,1.587.000,21,2.6,8,0,2,2023-12-06 07:01:05.068978
12900,ViníciusJúnior,18.482.000,54,5.4,10,4,2,2023-12-06 07:02:26.316231
12902,Raúl deTomás,1.524.000,25,2.3,11,0,3,2023-12-06 07:02:33.911571
12911,GonzaloMelero,391.000,37,2.6,14,0,2,2023-12-06 07:03:48.569262
12916,EzequielÁvila,4.344.000,28,2.2,13,1,4,2023-12-06 07:01:40.133960
12941,ÓscarTrejo,2.080.000,43,3.1,14,0,2,2023-12-06 07:00:53.757722
12944,SergioAkieme,1.314.000,51,4.3,12,2,1,2023-12-06 07:01:17.936435
12945,FranBeltrán,1.282.000,47,3.4,14,0,2,2023-12-06 07:04:05.716837
12946,SantiComesaña,330.000,29,2.9,10,0,4,2023-12-06 07:00:50.425214
12947,KevinVázquez,474.000,15,2.5,6,0,1,2023-12-06 07:02:38.992185
12949,ThomasLemar,165.000,2,0.7,3,0,0,2023-12-06 07:02:03.249378
12951,JaimeMata,275.000,26,2.2,13,0,5,2023-12-06 07:00:50.253546
130,IagoAspas,18.091.000,76,5.1,15,1,4,2023-12-06 07:00:50.597426
13004,SergiGuardiola,160.000,9,1.5,6,0,0,2023-12-06 07:01:59.539177
13005,AndriyLunin,1.781.000,30,6.0,5,0,0,2023-12-06 07:02:53.988426
13014,ToniVilla,160.000,0,0.0,0,0,0,2023-12-06 07:01:36.210015
13015,ChrisRamos,7.344.000,82,5.5,15,4,1,2023-12-06 07:03:52.628354
13420,MouctarDiakhaby,1.072.000,33,3.7,9,1,4,2023-12-06 07:01:53.218485
13697,MikelMerino,10.152.000,53,4.4,12,0,3,2023-12-06 07:04:38.615881
13702,JoséArnaiz,160.000,25,3.1,9,1,0,2023-12-06 07:02:49.127699
13971,MarcCardona,216.000,35,3.9,9,2,1,2023-12-06 07:02:29.389116
14379,AitorFernández,173.000,10,2.5,4,0,1,2023-12-06 07:00:57.140521
14500,José ÁngelPozo,178.000,0,0.0,0,0,0,2023-12-06 07:01:56.001523
14670,ThibautCourtois,472.000,0,0.0,0,0,0,2023-12-06 07:00:58.526773
14691,AdriàPedrosa,4.890.000,46,3.8,12,0,1,2023-12-06 07:01:10.873773
14762,AndréSilva,888.000,5,1.7,3,0,0,2023-12-06 07:00:40.623837
14789,OihanSancet,12.521.000,68,5.2,13,3,3,2023-12-06 07:02:14.729986
14790,PeruNolaskoain,168.000,1,1.0,1,0,0,2023-12-06 07:01:18.264226
14791,GorkaGuruzeta,11.510.000,87,5.8,15,7,2,2023-12-06 07:00:53.696698
14796,ÓscarRodríguez,527.000,21,2.6,9,0,4,2023-12-06 07:00:43.154277
14803,MartínMerquelanz,197.000,0,0.0,0,0,0,2023-12-06 07:00:29.049799
14811,UnaiSimón,10.699.000,79,5.3,15,0,2,2023-12-06 07:02:51.812339
14839,ManuMorlanes,160.000,24,2.2,12,0,2,2023-12-06 07:01:15.114406
14911,ÁlvaroGarcía,10.099.000,78,5.6,14,4,5,2023-12-06 07:02:24.059628
15338,Robin LeNormand,8.337.000,55,4.2,13,1,5,2023-12-06 07:00:24.795507
15339,ValeryFernández,178.000,23,2.1,11,0,0,2023-12-06 07:01:13.263529
15342,AnderBarrenetxea,10.726.000,72,5.1,14,3,0,2023-12-06 07:01:53.335892
15344,BrahimDíaz,5.132.000,45,4.5,10,2,0,2023-12-06 07:02:40.263598
15345,AihenMuñoz,4.587.000,51,3.4,15,0,2,2023-12-06 07:03:33.991976
15566,YangelHerrera,13.678.000,86,5.7,15,4,4,2023-12-06 07:00:23.115263
15693,JaviGalán,160.000,14,2.8,5,0,1,2023-12-06 07:00:27.261856
15756,AlejandroCatena,4.992.000,49,3.5,14,1,6,2023-12-06 07:00:51.488098
158,DaniGarcía,209.000,28,2.8,10,1,3,2023-12-06 07:01:46.792241
162,GonzaloEscalante,160.000,23,2.1,11,0,1,2023-12-06 07:02:08.564805
16779,ÁlexSola,1.207.000,46,3.5,13,0,1,2023-12-06 07:01:20.173443
1684,KikeGarcía,2.184.000,58,3.9,15,2,1,2023-12-06 07:00:53.651777
16868,AnderGuevara,5.204.000,63,4.2,15,1,5,2023-12-06 07:02:44.992461
1689,RubénPeña,1.269.000,40,3.3,12,0,2,2023-12-06 07:01:45.285685
16976,MartínZubimendi,14.549.000,86,5.7,15,2,2,2023-12-06 07:01:22.388370
1708,ÁlvaroMorata,15.781.000,76,5.8,13,7,3,2023-12-06 07:03:54.806968
171,RubénDuarte,1.911.000,51,3.9,13,1,4,2023-12-06 07:02:43.581320
1718,AridaneHernández,564.000,30,3.3,9,0,3,2023-12-06 07:01:38.278086
17290,SergioCamello,1.073.000,33,2.8,12,0,2,2023-12-06 07:00:50.478144
17291,CarlesPérez,558.000,15,2.5,6,0,1,2023-12-06 07:02:26.292273
1743,VíctorDíaz,195.000,6,1.5,4,0,1,2023-12-06 07:02:32.726566
17452,ÉderMilitão,1.613.000,5,5.0,1,0,0,2023-12-06 07:00:46.132152
17453,Frenkie DeJong,15.792.000,57,7.1,8,1,4,2023-12-06 07:04:06.526575
17459,Rodrygo,16.642.000,91,6.1,15,6,0,2023-12-06 07:03:50.987178
17461,Fede SanEmeterio,175.000,6,2.0,3,1,2,2023-12-06 07:01:49.255343
175,AntonioRaíllo,2.277.000,29,5.8,5,1,0,2023-12-06 07:03:17.342677
1756,UnaiGarcía,164.000,0,0.0,0,0,0,2023-12-06 07:00:47.870960
17572,JaviMuñoz,2.259.000,44,2.9,15,0,1,2023-12-06 07:02:39.623959
1759,DavidGarcía,7.115.000,56,4.0,14,0,2,2023-12-06 07:04:16.658867
17614,KikeBarja,160.000,27,2.7,10,0,2,2023-12-06 07:02:38.858406
17615,SergioHerrera,3.784.000,48,4.0,12,0,2,2023-12-06 07:04:03.931300
1762,ÁlexBerenguer,5.649.000,51,3.6,14,2,2,2023-12-06 07:03:39.604349
17620,AntonioPuertas,176.000,29,2.1,14,0,1,2023-12-06 07:02:57.240771
17623,FerlandMendy,5.343.000,23,2.9,8,0,2,2023-12-06 07:01:53.864431
1773,KepaArrizabalaga,7.455.000,45,4.5,10,0,1,2023-12-06 07:01:48.738402
1775,RubénSobrino,187.000,33,2.5,13,0,6,2023-12-06 07:00:50.180494
17975,AbdónPrats,4.180.000,64,5.3,12,5,0,2023-12-06 07:02:22.863868
17979,MartinValjent,4.347.000,53,3.5,15,0,3,2023-12-06 07:02:35.414579
17980,DaniRodríguez,3.478.000,50,3.6,14,1,5,2023-12-06 07:03:04.443988
17981,IddrisuBaba,160.000,32,2.3,14,0,3,2023-12-06 07:02:14.752845
17989,Jorge deFrutos,950.000,42,3.0,14,1,0,2023-12-06 07:02:00.928272
18004,AnteBudimir,14.375.000,103,6.9,15,7,4,2023-12-06 07:01:54.181335
18109,LuisRioja,10.268.000,79,5.3,15,1,3,2023-12-06 07:02:22.731272
18186,JulesKoundé,12.669.000,56,4.7,12,1,0,2023-12-06 07:03:26.437943
18221,JoãoFélix,15.168.000,66,5.5,12,2,3,2023-12-06 07:01:55.840563
18223,LucasOcampos,10.160.000,64,4.9,13,1,4,2023-12-06 07:04:21.452618
18317,RaúlAlbiol,5.224.000,45,3.5,13,0,3,2023-12-06 07:02:50.965869
18437,AlbertoMoreno,1.021.000,26,2.4,11,0,2,2023-12-06 07:00:26.258995
18465,JosephAidoo,160.000,18,3.0,6,0,0,2023-12-06 07:01:09.406403
185,JoanJordan,202.000,8,2.7,3,0,0,2023-12-06 07:02:25.524681
18532,AleksandarSedlar,160.000,44,4.0,11,1,2,2023-12-06 07:00:51.992174
